Image Name,Invoice Number,Invoice Date,Vendor Name,Total Amount,Item Number,Description,Quantity,Unit Price,Net Worth,VAT,Gross Worth,Calculated Net Worth,Net Worth Valid,Calculated Gross Worth,Gross Worth Valid,Validation Result,Prediction,Anomaly Score,IsAnomaly,AnomalyReason
batch1-0001.jpg,51109338,04/13/2013,"Andrews, Kirby and Valdez",6204.19,1,CLEARANCE! Fast Dell Desktop,3.0,209.0,627.0,10.0,689.7,627.0,True,689.7,True,True,-1,-0.03991484400783596,True,Unusual pattern detected by Isolation Forest
batch1-0001.jpg,51109338,04/13/2013,"Andrews, Kirby and Valdez",6204.19,2,HP T520 Thin Client Computer,5.0,37.75,188.75,10.0,207.63,188.75,True,207.62500000000003,True,True,-1,-0.007213275683154441,True,Unusual pattern detected by Isolation Forest
batch1-0001.jpg,51109338,04/13/2013,"Andrews, Kirby and Valdez",6204.19,3,gaming pc desktop computer,1.0,400.0,400.0,10.0,440.0,400.0,True,440.00000000000006,True,True,-1,-0.07818840880715894,True,Unusual pattern detected by Isolation Forest
batch1-0001.jpg,51109338,04/13/2013,"Andrews, Kirby and Valdez",6204.19,4,12-Core Gaming Computer,3.0,464.89,1394.67,10.0,1534.14,1394.67,True,1534.1370000000002,True,True,-1,-0.06013533346044686,True,Unusual pattern detected by Isolation Forest
batch1-0001.jpg,51109338,04/13/2013,"Andrews, Kirby and Valdez",6204.19,5,Custom Build Dell Optiplex 9020,5.0,221.99,1109.95,10.0,1220.95,1109.95,True,1220.9450000000002,True,True,-1,-0.07152295280111964,True,Unusual pattern detected by Isolation Forest
batch1-0001.jpg,51109338,04/13/2013,"Andrews, Kirby and Valdez",6204.19,6,Del! Optiplex 990 MT Computer,4.0,269.95,1079.8,10.0,1187.78,1079.8,True,1187.78,True,True,-1,-0.04835744309136181,True,Unusual pattern detected by Isolation Forest
batch1-0001.jpg,51109338,04/13/2013,"Andrews, Kirby and Valdez",6204.19,7,Dell Core 2 Duo Desktop,5.0,168.0,840.0,10.0,924.0,840.0,True,924.0000000000001,True,True,-1,-0.06642995860073375,True,Unusual pattern detected by Isolation Forest
batch1-0002.jpg,12847181,03/03/2012,Fitzpatrick and Sons Duncan PLC,6860.45,1,HP Desktop Computer PC J,4.0,139.95,559.8,10.0,615.78,559.8,True,615.78,True,True,-1,-0.03261838829189223,True,Unusual pattern detected by Isolation Forest
batch1-0002.jpg,12847181,03/03/2012,Fitzpatrick and Sons Duncan PLC,6860.45,2,CUSTOM BUILT AMD RYZEN,3.0,1400.0,4200.0,10.0,4620.0,4200.0,True,4620.0,True,True,-1,-0.14236173952478437,True,Unusual pattern detected by Isolation Forest
batch1-0002.jpg,12847181,03/03/2012,Fitzpatrick and Sons Duncan PLC,6860.45,3,Fast Dell Optiplex Desktop PC,1.0,217.0,217.0,10.0,238.7,217.0,True,238.70000000000002,True,True,-1,-0.04061785326048939,True,Unusual pattern detected by Isolation Forest
batch1-0002.jpg,12847181,03/03/2012,Fitzpatrick and Sons Duncan PLC,6860.45,4,Dell Optiplex 790 Computer i7,3.0,159.99,479.97,10.0,527.97,479.97,True,527.9670000000001,True,True,-1,-0.034175036015426596,True,Unusual pattern detected by Isolation Forest
batch1-0002.jpg,12847181,03/03/2012,Fitzpatrick and Sons Duncan PLC,6860.45,5,Vintage Microsolutions Pentium,2.0,390.0,780.0,10.0,858.0,780.0,True,858.0000000000001,True,True,-1,-0.06796704645074059,True,Unusual pattern detected by Isolation Forest
batch1-0003.jpg,19471831,04/09/2014,Palmer Ltd,44745.59,1,"15""x15"" White Decorative Coffee Table Top Lapis Lazuli Marquetery Patio Décor",3.0,645.77,1937.31,10.0,2131.04,1937.31,True,2131.041,True,True,-1,-0.0913133919760748,True,Unusual pattern detected by Isolation Forest
batch1-0003.jpg,19471831,04/09/2014,Palmer Ltd,44745.59,2,4'x2' Marble Dining Table Top Pietra Dura Birds Inlay Art Furniture Decors B444,5.0,1840.1,9200.5,10.0,10120.55,9200.5,True,10120.550000000001,True,True,-1,-0.17018848074107717,True,Unusual pattern detected by Isolation Forest
batch1-0003.jpg,19471831,04/09/2014,Palmer Ltd,44745.59,3,60 Inches Marble Dinning Table Top Hand Inlaid Garden Table with Gemstones,5.0,5908.0,29540.0,10.0,32494.0,29540.0,True,32494.000000000004,True,True,-1,-0.21598907261077038,True,Unusual pattern detected by Isolation Forest
batch1-0005.jpg,89969473,10/29/2016,"Johnson-Martin Deleon, Davila and Allen",797.91,1,Wild West Wine,2.0,27.0,54.0,10.0,59.4,54.0,True,59.400000000000006,True,True,1,0.03192959284021757,False,Normal
batch1-0005.jpg,89969473,10/29/2016,"Johnson-Martin Deleon, Davila and Allen",797.91,2,Press Wine 15L Fruit Cider,2.0,279.0,558.0,10.0,613.8,558.0,True,613.8000000000001,True,True,-1,-0.053595737554853806,True,Unusual pattern detected by Isolation Forest
batch1-0005.jpg,89969473,10/29/2016,"Johnson-Martin Deleon, Davila and Allen",797.91,3,Wine Rack Holder Iron Art,3.0,18.75,56.25,10.0,61.87,56.25,True,61.87500000000001,True,True,1,0.03283711529837374,False,Normal
